,level_0,index,text,Corrective,Adaptive,Perfective
0,0,1501,    add a warn() macro; this is warn_on() + printk arguments          add a warn() macro that acts like warn_on()  with the added feature that it     takes a printk like argument that is printed as part of the warning message.          [akpm@linux-foundation.org: fix printk arguments]     [akpm@linux-foundation.org: coding-style fixes]     signed-off-by: arjan van de ven <arjan@lin,0,1,0
1,1,1470,    update scalafmt config for finagle.          problem:       the scalafmt config doesn't match the twitter style guide.       this causes angst and makes onboarding new folks onto scalafmt       a difficult sell.          solution:       update the scalafmt config  and everyone who has opted into       automatic application of scalafmt.          result:       the code automatica,1,0,0
2,2,1390,    ima: digital signature verification using asymmetric keys          asymmetric keys were introduced in linux-3.7 to verify the signature on     signed kernel modules. the asymmetric keys infrastructure abstracts the     signature verification from the crypto details. this patch adds ima/evm     signature verification using asymmetric keys. support for additional     signature ve,0,1,1
3,3,1920,    fix modules/ typos          found using `codespell -q 3 -s ./3rdparty -l activ amin ang atleast childs dof endwhile halfs hist iff nd od uint` ,1,0,0
4,4,551,    removed unused function. (seems like a copy of imap_body) ,0,0,1
5,5,421,    remove need for two attributes on diagnostic analyzers.          current design of diagnosticanalyzers require each analyzer type to have 2 attributes:     1) diagnosticanalyzerattribute: this is defined in microsoft.codeanalysis and is used by       (a) command line compilers to detect analyzer types in analyzer assemblies.       (b) msbuild and ide to detect per-project analy,0,0,1
6,6,1001,    typo fix: immediatly -> immediately          signed-off-by: hu tao <hutao@cn.fujitsu.com> ,1,0,0
7,7,494,    test(ivy): enable ivy tests for platform-browser (#27460)     pr close #27460 ,0,1,0
8,8,16,    remove elasticsearchiae and elasticsearchise          this commit removes elasticsearchiae and elasticsearchise in favor of     the jdks iae and ise.          closes #10794 ,1,0,0
9,9,1348,    bluetooth: rename le_scanning_* macros          this patch renames le_scanning_enabled and le_scanning_disabled     macros to le_scan_enable and le_scan_disable in order to keep     the same prefix others le scan macros have.          it also fixes le_scan_enable_req function so it uses the le_scan_     enable macro instead of a magic number.          signed-off-by: andre guede,1,1,1
10,10,1810,    added #define __stdc_format_macros to tensor and storage code templates to avoid problems with gcc 4.8.5 (#3629) ,0,1,0
11,11,250,    intel mkl kernels for concat  lrn and fusedbatchnorm          this commit implements following changes:          1) mkl kernels for lrn  concat  concatv2 and fusedbatchnorm and applicable gradient ops     2) graph layout pass change to support new ops     3) removes mkl graph node merge pass as a separate pass     4) changes mkl-tf tensor ordering from interleaved to contiguous,0,1,1
12,12,44,"    imx: fix iomux v3          commit ""arm: i.mx iomux-v3 replace struct pad_desc with bitmapped cookie""     (b705cb4d42e95a4a43a8945571c8613e71526c3d) introduced a typo which was     preventing my efikamx to boot. this patch is fixing that.          signed-off-by: arnaud patard <arnaud.patard@rtp-net.org>     tested-by: fabio estevam <fabio.estevam@freescale.com>     signed-off-by",1,0,0
13,13,515,    get template should return warmers          fixes #2868 ,1,0,0
14,14,24,    removed podstatus.host          fixes #6165 ,1,0,0
15,15,1256,    track signup modal panel nav button clicks          don't track them on mixpanel          add tracking for other paths          don't log errors  don't dupe legacy event ,0,1,0
16,16,509,    add basic compilation tests from swift-compiler-crashes (https://github.com/practicalswift/swift-compiler-crashes.git)          swift svn r21693 ,0,1,0
17,17,1062,    fix(tap-click): works inside shadow-dom          adds private ion-activable attribute          fixes #15128 ,1,1,0
18,18,58,    ensure that the deferred tick runs this frame.          previously it was using date.now()  which might be a millisecond or two past the     now time of the current frame  and thus might not run until the next frame! by     using the current time  we guarantee that it runs at the end of this frame. ,1,0,0
19,19,1440,    atyfb: fix header file trailing whitespace          fix trailing whitespace because quilt complained about it.          signed-off-by: randy dunlap <randy.dunlap@oracle.com>     cc: benjamin herrenschmidt <benh@kernel.crashing.org>     signed-off-by: andrew morton <akpm@linux-foundation.org>     signed-off-by: linus torvalds <torvalds@linux-foundation.org> ,1,0,0
20,20,1737,    improve etcd-version-monitor metrics proxying  add etcd 3.1 gprc metric support ,0,1,1
21,21,17,    staging: rtl8192e: remove undefs          they relate to macros that are not used in the driver.          signed-off-by: mateusz kulikowski <mateusz.kulikowski@gmail.com>     signed-off-by: greg kroah-hartman <gregkh@linuxfoundation.org> ,1,0,0
22,22,767,    fixed cs (missing or misplaced license blocks) ,1,0,0
23,23,186,    fixes to %pd format usage ,1,0,0
24,24,393,    use different eslint config for es6 and es5 (#11794)          * use different eslint config for es6 and es5          * remove confusing eslint/baseconfig.js & add more eslint setting for es5  es6          * more clear way to run eslint on es5 & es6 file          * seperate esnext  es6  es6 path  and use different lint config          * rename eslint config file & update eslint ,0,0,1
25,25,1185,    iwlwifi: kill iwl4965_fill_rs_info          iwl4965_fill_rs_info was used in sysfs. this info is already present     in iwl-agn-rs debugfs.          signed-off-by: tomas winkler <tomas.winkler@intel.com>     signed-off-by: zhu yi <yi.zhu@intel.com>     signed-off-by: john w. linville <linville@tuxdriver.com> ,0,0,1
26,26,906,    alsa: support module on-demand loading for seq and timer          if config_snd_dynamic_minors is used  assign /dev/snd/seq and     /dev/snd/timer the usual static minors  and export specific     module aliases to generate udev module on-demand loading     instructions:            $ cat /lib/modules/2.6.33.4-smp/modules.devname       # device nodes to trigger on-demand module l,0,1,0
27,27,989,    fixed #23395 -- limited line lengths to 119 characters. ,1,0,0
28,28,1113,"    drop scala-xml from scaladoc pt. 1          to simplify boostrapping  we're going nih on scala-xml.     next step: remove usage in diagram generation  or maybe     move that to a d3 / dot js client-side solution.          the diff on scaladoc for the core is minimal  using     a textconv à la:          ```     cat ""$1"" | perl -pe 's/\s+/ /gm' | perl -pe 's/ef26caa/60fce92/g' | ",0,0,1
29,29,1027,    - introduced new compilation loop ,0,1,0
30,30,1255,    revert support for isolates.          it was decided that the performance benefits that isolates offer (faster spin-up     times for worker processes  faster inter-worker communication  possibly a lower     memory footprint) are not actual bottlenecks for most people and do not outweigh     the potential stability issues and intrusive changes to the code base that     first-cla,0,0,1
31,31,1596,    add toggle to show closed issues on milestones#show          progress on #1167 ,0,1,0
32,32,1101,    fix copy when used with scratch and images with empty rootfs          commit the rwlayer to get the correct diffid     refacator copy in thebuilder     move more code into exportimage     cleanup some windows tests     release the newly commited layer.     set the imageid on the buildstage after exporting a new image.     move archiver to buildmanager.     have releaseablelayer,1,0,1
33,33,1442,    add mono as a test runner ,0,1,0
34,34,1126,    style(reflector): formatting ,0,0,1
35,35,928,    refactoring: moving and renaming things ,0,0,1
36,36,1075,    add support for delete animation in layoutanimation on ios          summary:this adds support for delete view animations in layoutanimation for ios. it supports the same properties as the create animation (alpha  scale).          this allows making simple animations when removing a view which is normally hard to do in react since we need to not remove the view node immediately.,0,1,0
37,37,1234,    removed useless zval_ptr_dtor() ,0,0,1
38,38,522,    improved push and pull with upload manager and download manager          this commit adds a transfer manager which deduplicates and schedules     transfers  and also an upload manager and download manager that build on     top of the transfer manager to provide high-level interfaces for uploads     and downloads. the push and pull code is modified to use these building     bloc,0,0,1
39,39,424,    eventbus now handles adding and removal better. see #2561 ,0,1,0
40,40,850,"    [powerpc] celleb: update for pci          this adds support for the pci bus on celleb with new ""i/o routines     for powerpc.""  external pci on celleb must do explicit synchronization     with devices (bus has no automatic synchronization feature).          signed-off-by: kou ishizaki <kou.ishizaki@toshiba.co.jp>     acked-by: arnd bergmann <arnd@arndb.de>     signed-off-by: pa",0,1,0
41,41,1103,    feat(pipe): added the pipe decorator and the pipe property to view          breaking change:         instead of configuring pipes via a pipes object  now you can configure them by providing the pipes property to the view decorator.              @pipe({           name: 'double'         })         class doublepipe {           transform(value  args) { return value * 2; }         },0,1,0
42,42,1901,    remove ioremap_nocache and devm_ioremap_nocache          ioremap has provided non-cached semantics by default since the linux 2.6     days  so remove the additional ioremap_nocache interface.          signed-off-by: christoph hellwig <hch@lst.de>     acked-by: arnd bergmann <arnd@arndb.de> ,0,0,1
43,43,1504,    added support for multitargeting          - added 1_x src project for multitargeting          - added 1_x test project for multitargeting          - added 1_x test mvcshim for multitargeting          - make section directive generate the correct code the appropriate version          - added another sln ,0,1,0
44,44,2017,    add correct dependencies to sdca ops to fix build breakage.     change: 115408162 ,1,0,0
45,45,853,    refactor holes and reifiers slices of quasiquotes cake          this commit performs a number of preliminary refactoring needed to     implement unliftable:          1. replace previous inheritance-heavy implementation of holes with        similar but much simpler one. holes are now split into two different        categories: applyhole and unapplyhole which correspondingly repr,0,0,1
46,46,168,    minor improvements over cl/163390862: avoid storing unused data  and add a     little bit of documentation for future reference.          piperorigin-revid: 163483408 ,0,0,1
47,47,914,    @cleaned up extension namespace (stig)     cleaned up extension namespace  and changed ext/standard into one single     extension. ,0,0,1
48,48,309,    fixed port separator in dsn when using dblib with pdo in sql server connector ,1,0,0
49,49,597,    make numeric namings consistent with bytes ones     also add the ability to get the ordinals from doublevalues.withordinals and longvalues.withordinals ,0,0,1
50,50,1530,    add test for emit destructuring invariable declaration with omitted expression ,0,1,0
51,51,1777,    power: supply: maxim: add spdx license identifiers          replace gpl v2.0 and v2.0+ license statements with spdx license     identifiers.          signed-off-by: krzysztof kozlowski <krzk@kernel.org>     signed-off-by: sebastian reichel <sebastian.reichel@collabora.com> ,0,1,0
52,52,1066,    feature: make pin expiration mandatory ,0,1,0
53,53,1692,    add restart koreader function and ensure flushsettings event can be delivered to all widgets (#2772) ,0,1,0
54,54,1665,    dmaengine: tegra-apb: remove unnecessary return statements and variables          some void functions have unnecessary return statements at the end     (reported by sparse) and so remove these. also remove the return variables     from functions tegra_dma_prep_slave_sg() and tegra_dma_prep_slave_cyclic()     because the value is not used.          signed-off-by: jon hunter <jon,0,0,1
55,55,1921,    e1000: driver state fixes (race fix)          we were plagued by our interrupt handler posting a watchdog event which     could occur when our adapter was going down in case a late packet arrived     just before e1000_down() finished. this caused the watchdog timer to start     after the nic was down and keep rescheduling it every n seconds. once     the driver unloaded it woul,1,0,0
56,56,2024,    drivers/misc/hmc6352.c: fix wrong return value checking for i2c_master_recv()          i2c_master_recv() returns negative errno  or else the number of bytes     read.  thus i2c_master_recv(client  i2c_data  2) returns 2 instead of 1 in     success case.          [akpm@linux-foundation.org: make `ret' signed]     signed-off-by: axel lin <axel.lin@gmail.com>     cc: kalhan trisal,1,0,0
57,57,1033,    btrfs: merge btrfs_find_device and find_device          both btrfs_find_device() and find_device() does the same thing except     that the latter does not take the seed device onto account in the device     scanning context. we can merge them.          signed-off-by: anand jain <anand.jain@oracle.com>     reviewed-by: david sterba <dsterba@suse.com>     signed-off-by: david ste,0,0,1
58,58,1447,    drm/amdkfd: use ref count to prevent kfd_process destruction          use a reference counter instead of a lock to prevent process     destruction while functions running out of process context are using     the kfd_process structure. in many cases these functions don't need     the structure to be locked. in the few cases that really do need the     process lock  take it expli,1,0,1
59,59,1541,    bluetooth: refactor arguments of mgmt_device_connected          the values of a lot of the mgmt_device_connected() parameters come     straight from a hci_conn object. we can simplify the function by passing     the full hci_conn pointer to it.          signed-off-by: alfonso acosta <fons@spotify.com>     signed-off-by: johan hedberg <johan.hedberg@intel.com> ,0,0,1
60,60,358,    add test operation (#114)          addresses #1 ,1,1,0
